index,name,class,split,combination,jaccard
31,riped_tomato_11.jpeg,ripe,train,R,0.22549749920187293
31,riped_tomato_11.jpeg,ripe,train,G,0.35768783790611897
31,riped_tomato_11.jpeg,ripe,train,B,0.3214094254105951
31,riped_tomato_11.jpeg,ripe,train,RG,0.15243730628346014
31,riped_tomato_11.jpeg,ripe,train,RB,0.1440390856246211
31,riped_tomato_11.jpeg,ripe,train,GB,0.3425037859666835
31,riped_tomato_11.jpeg,ripe,train,RGB,0.11375894525328727
32,riped_tomato_12.jpeg,ripe,test,R,0.00914289748658571
32,riped_tomato_12.jpeg,ripe,test,G,0.013322270949389594
32,riped_tomato_12.jpeg,ripe,test,B,0.061173744737362604
32,riped_tomato_12.jpeg,ripe,test,RG,0.057037643207855974
32,riped_tomato_12.jpeg,ripe,test,RB,0.05870045333023364
32,riped_tomato_12.jpeg,ripe,test,GB,0.06341719077568134
32,riped_tomato_12.jpeg,ripe,test,RGB,0.06158813680937575
33,riped_tomato_13.jpeg,ripe,train,R,0.4350595113802464
33,riped_tomato_13.jpeg,ripe,train,G,0.7029132362254592
33,riped_tomato_13.jpeg,ripe,train,B,0.7007891139555114
33,riped_tomato_13.jpeg,ripe,train,RG,0.6353127621888692
33,riped_tomato_13.jpeg,ripe,train,RB,0.6758051554676392
33,riped_tomato_13.jpeg,ripe,train,GB,0.7031240217867651
33,riped_tomato_13.jpeg,ripe,train,RGB,0.6837760675273088
34,riped_tomato_14.jpeg,ripe,train,R,0.5505259123621343
34,riped_tomato_14.jpeg,ripe,train,G,0.4284301925722146
34,riped_tomato_14.jpeg,ripe,train,B,0.5290651868598637
34,riped_tomato_14.jpeg,ripe,train,RG,0.500477472002778
34,riped_tomato_14.jpeg,ripe,train,RB,0.5358628929262967
34,riped_tomato_14.jpeg,ripe,train,GB,0.4213140283681973
34,riped_tomato_14.jpeg,ripe,train,RGB,0.4907514203938656
35,riped_tomato_15.jpeg,ripe,train,R,0.7542138457566481
35,riped_tomato_15.jpeg,ripe,train,G,0.4615201334286395
35,riped_tomato_15.jpeg,ripe,train,B,0.47692084662220935
35,riped_tomato_15.jpeg,ripe,train,RG,0.6536224993599824
35,riped_tomato_15.jpeg,ripe,train,RB,0.7345425172565722
35,riped_tomato_15.jpeg,ripe,train,GB,0.36043601960717103
35,riped_tomato_15.jpeg,ripe,train,RGB,0.6071014912407703
36,riped_tomato_16.jpeg,ripe,test,R,0.47015478957519413
36,riped_tomato_16.jpeg,ripe,test,G,0.7889051537024885
36,riped_tomato_16.jpeg,ripe,test,B,0.7864282485308152
36,riped_tomato_16.jpeg,ripe,test,RG,0.7769852354349561
36,riped_tomato_16.jpeg,ripe,test,RB,0.774916737088035
36,riped_tomato_16.jpeg,ripe,test,GB,0.7872522386558004
36,riped_tomato_16.jpeg,ripe,test,RGB,0.7818927981582503
37,riped_tomato_20.jpeg,ripe,train,R,0.32554517133956384
37,riped_tomato_20.jpeg,ripe,train,G,0.8999914958754996
37,riped_tomato_20.jpeg,ripe,train,B,0.8981331514789873
37,riped_tomato_20.jpeg,ripe,train,RG,0.8836934004143238
37,riped_tomato_20.jpeg,ripe,train,RB,0.8838513769980177
37,riped_tomato_20.jpeg,ripe,train,GB,0.8989649444136815
37,riped_tomato_20.jpeg,ripe,train,RGB,0.8922000847816871
38,riped_tomato_21.jpeg,ripe,train,R,0.6335710131190625
38,riped_tomato_21.jpeg,ripe,train,G,0.6385432406008354
38,riped_tomato_21.jpeg,ripe,train,B,0.6327282068847405
38,riped_tomato_21.jpeg,ripe,train,RG,0.5802046338576019
38,riped_tomato_21.jpeg,ripe,train,RB,0.5897834796692524
38,riped_tomato_21.jpeg,ripe,train,GB,0.6344765933323158
38,riped_tomato_21.jpeg,ripe,train,RGB,0.5999610836053878
39,riped_tomato_22.jpeg,ripe,test,R,0.7581344554010214
39,riped_tomato_22.jpeg,ripe,test,G,0.5795997526561358
39,riped_tomato_22.jpeg,ripe,test,B,0.6290576405003867
39,riped_tomato_22.jpeg,ripe,test,RG,0.7166144601419165
39,riped_tomato_22.jpeg,ripe,test,RB,0.7581344554010214
39,riped_tomato_22.jpeg,ripe,test,GB,0.6230829996458827
39,riped_tomato_22.jpeg,ripe,test,RGB,0.5932189718218972
40,riped_tomato_25.jpeg,ripe,train,R,0.4874323279195669
40,riped_tomato_25.jpeg,ripe,train,G,0.07093263276412085
40,riped_tomato_25.jpeg,ripe,train,B,0.04847891834193204
40,riped_tomato_25.jpeg,ripe,train,RG,0.4424778761061947
40,riped_tomato_25.jpeg,ripe,train,RB,0.425414364640884
40,riped_tomato_25.jpeg,ripe,train,GB,0.05718715797154323
40,riped_tomato_25.jpeg,ripe,train,RGB,0.3436123348017621
41,riped_tomato_28.jpeg,ripe,train,R,0.6103420195439739
41,riped_tomato_28.jpeg,ripe,train,G,0.8202718236527149
41,riped_tomato_28.jpeg,ripe,train,B,0.8175812323041661
41,riped_tomato_28.jpeg,ripe,train,RG,0.8178140381633066
41,riped_tomato_28.jpeg,ripe,train,RB,0.8160780356542213
41,riped_tomato_28.jpeg,ripe,train,GB,0.8187095032397408
41,riped_tomato_28.jpeg,ripe,train,RGB,0.8179611650485437
42,riped_tomato_29.jpeg,ripe,validation,R,0.43382314214989204
42,riped_tomato_29.jpeg,ripe,validation,G,0.7710473491557445
42,riped_tomato_29.jpeg,ripe,validation,B,0.7423849643551523
42,riped_tomato_29.jpeg,ripe,validation,RG,0.755577677578029
42,riped_tomato_29.jpeg,ripe,validation,RB,0.7336758724041961
42,riped_tomato_29.jpeg,ripe,validation,GB,0.7668270591565242
42,riped_tomato_29.jpeg,ripe,validation,RGB,0.7574163215045338
43,riped_tomato_3.jpeg,ripe,validation,R,0.163600794206961
43,riped_tomato_3.jpeg,ripe,validation,G,0.3882573467166526
43,riped_tomato_3.jpeg,ripe,validation,B,0.4274750575594781
43,riped_tomato_3.jpeg,ripe,validation,RG,0.3629829806807728
43,riped_tomato_3.jpeg,ripe,validation,RB,0.40339843986212737
43,riped_tomato_3.jpeg,ripe,validation,GB,0.41034696406443616
43,riped_tomato_3.jpeg,ripe,validation,RGB,0.39835877632293487
44,riped_tomato_31.jpeg,ripe,train,R,0.2285321489001692
44,riped_tomato_31.jpeg,ripe,train,G,0.6583132406504899
44,riped_tomato_31.jpeg,ripe,train,B,0.687444118022736
44,riped_tomato_31.jpeg,ripe,train,RG,0.6193595896498312
44,riped_tomato_31.jpeg,ripe,train,RB,0.672069384039648
44,riped_tomato_31.jpeg,ripe,train,GB,0.6763547050094663
44,riped_tomato_31.jpeg,ripe,train,RGB,0.6673621536347676
45,riped_tomato_33.jpeg,ripe,train,R,0.9688592310136638
45,riped_tomato_33.jpeg,ripe,train,G,0.9881390877290522
45,riped_tomato_33.jpeg,ripe,train,B,0.9908365424766854
45,riped_tomato_33.jpeg,ripe,train,RG,0.9843191513893693
45,riped_tomato_33.jpeg,ripe,train,RB,0.9896692300565181
45,riped_tomato_33.jpeg,ripe,train,GB,0.990332676480816
45,riped_tomato_33.jpeg,ripe,train,RGB,0.9895312210487308
46,riped_tomato_4.jpeg,ripe,validation,R,0.17428957256928135
46,riped_tomato_4.jpeg,ripe,validation,G,0.3355420998514795
46,riped_tomato_4.jpeg,ripe,validation,B,0.047256540111609305
46,riped_tomato_4.jpeg,ripe,validation,RG,0.07648107177974435
46,riped_tomato_4.jpeg,ripe,validation,RB,0.06686310063463281
46,riped_tomato_4.jpeg,ripe,validation,GB,0.04315540918411732
46,riped_tomato_4.jpeg,ripe,validation,RGB,0.05390393233604746
47,riped_tomato_40.jpeg,ripe,test,R,0.275373630503281
47,riped_tomato_40.jpeg,ripe,test,G,0.9169393842856729
47,riped_tomato_40.jpeg,ripe,test,B,0.9305361712026052
47,riped_tomato_40.jpeg,ripe,test,RG,0.9163589151759954
47,riped_tomato_40.jpeg,ripe,test,RB,0.9271968467424067
47,riped_tomato_40.jpeg,ripe,test,GB,0.9266494441380512
47,riped_tomato_40.jpeg,ripe,test,RGB,0.9250463392029658
48,riped_tomato_42.jpeg,ripe,train,R,0.900096704604627
48,riped_tomato_42.jpeg,ripe,train,G,0.9458891311118032
48,riped_tomato_42.jpeg,ripe,train,B,0.9483119906868451
48,riped_tomato_42.jpeg,ripe,train,RG,0.9419774098715766
48,riped_tomato_42.jpeg,ripe,train,RB,0.9429651925600062
48,riped_tomato_42.jpeg,ripe,train,GB,0.9468448865402549
48,riped_tomato_42.jpeg,ripe,train,RGB,0.9450472794915517
49,riped_tomato_45.jpeg,ripe,train,R,0.7593719439313268
49,riped_tomato_45.jpeg,ripe,train,G,0.24070134504529234
49,riped_tomato_45.jpeg,ripe,train,B,0.29624022205399947
49,riped_tomato_45.jpeg,ripe,train,RG,0.6697221289053127
49,riped_tomato_45.jpeg,ripe,train,RB,0.7279006959592812
49,riped_tomato_45.jpeg,ripe,train,GB,0.21363341102747316
49,riped_tomato_45.jpeg,ripe,train,RGB,0.6496503496503496
50,riped_tomato_46.jpeg,ripe,validation,R,0.7172247057750205
50,riped_tomato_46.jpeg,ripe,validation,G,0.7611668185961714
50,riped_tomato_46.jpeg,ripe,validation,B,0.7845776645353589
50,riped_tomato_46.jpeg,ripe,validation,RG,0.7668676701011348
50,riped_tomato_46.jpeg,ripe,validation,RB,0.7796796557494621
50,riped_tomato_46.jpeg,ripe,validation,GB,0.7779108768567321
50,riped_tomato_46.jpeg,ripe,validation,RGB,0.7770980692028293
51,riped_tomato_52.jpeg,ripe,train,R,0.6339283310448806
51,riped_tomato_52.jpeg,ripe,train,G,0.263455480466331
51,riped_tomato_52.jpeg,ripe,train,B,0.11938515018195645
51,riped_tomato_52.jpeg,ripe,train,RG,0.49645714901527604
51,riped_tomato_52.jpeg,ripe,train,RB,0.5904205166886668
51,riped_tomato_52.jpeg,ripe,train,GB,0.19039904962470977
51,riped_tomato_52.jpeg,ripe,train,RGB,0.4708846433671957
52,riped_tomato_6.jpeg,ripe,test,R,0.5952806433271058
52,riped_tomato_6.jpeg,ripe,test,G,0.6878454011052836
52,riped_tomato_6.jpeg,ripe,test,B,0.6869647620384669
52,riped_tomato_6.jpeg,ripe,test,RG,0.6871288520327489
52,riped_tomato_6.jpeg,ripe,test,RB,0.6862820692555727
52,riped_tomato_6.jpeg,ripe,test,GB,0.6872584159111673
52,riped_tomato_6.jpeg,ripe,test,RGB,0.6870698131760079
53,riped_tomato_7.jpeg,ripe,train,R,0.6216064341657008
53,riped_tomato_7.jpeg,ripe,train,G,0.17207560020432489
53,riped_tomato_7.jpeg,ripe,train,B,0.454351909830933
53,riped_tomato_7.jpeg,ripe,train,RG,0.5817490494296578
53,riped_tomato_7.jpeg,ripe,train,RB,0.6177423374034389
53,riped_tomato_7.jpeg,ripe,train,GB,0.15413639889978137
53,riped_tomato_7.jpeg,ripe,train,RGB,0.2188355404305689
54,riped_tomato_73.jpeg,ripe,validation,R,0.6265374277103527
54,riped_tomato_73.jpeg,ripe,validation,G,0.7253165166321668
54,riped_tomato_73.jpeg,ripe,validation,B,0.7840355299483855
54,riped_tomato_73.jpeg,ripe,validation,RG,0.5493549436253252
54,riped_tomato_73.jpeg,ripe,validation,RB,0.5797501216939802
54,riped_tomato_73.jpeg,ripe,validation,GB,0.7673989160151566
54,riped_tomato_73.jpeg,ripe,validation,RGB,0.5084017722066133
55,riped_tomato_78.jpeg,ripe,train,R,0.21527305687740766
55,riped_tomato_78.jpeg,ripe,train,G,0.34352370542423827
55,riped_tomato_78.jpeg,ripe,train,B,0.25552638487792073
55,riped_tomato_78.jpeg,ripe,train,RG,0.07295537808702986
55,riped_tomato_78.jpeg,ripe,train,RB,0.06860728513031479
55,riped_tomato_78.jpeg,ripe,train,GB,0.27164522941063546
55,riped_tomato_78.jpeg,ripe,train,RGB,0.04065865459653504
56,riped_tomato_8.jpeg,ripe,validation,R,0.3685979375520639
56,riped_tomato_8.jpeg,ripe,validation,G,0.25070538018183136
56,riped_tomato_8.jpeg,ripe,validation,B,0.5581913818929181
56,riped_tomato_8.jpeg,ripe,validation,RG,0.31109391124871
56,riped_tomato_8.jpeg,ripe,validation,RB,0.3795011337868481
56,riped_tomato_8.jpeg,ripe,validation,GB,0.42826673358007655
56,riped_tomato_8.jpeg,ripe,validation,RGB,0.3007247431382251
57,riped_tomato_80.jpeg,ripe,train,R,0.39692397263597107
57,riped_tomato_80.jpeg,ripe,train,G,0.06768128916741271
57,riped_tomato_80.jpeg,ripe,train,B,0.08891916838820271
57,riped_tomato_80.jpeg,ripe,train,RG,0.3524590163934426
57,riped_tomato_80.jpeg,ripe,train,RB,0.3500507872016252
57,riped_tomato_80.jpeg,ripe,train,GB,0.08385992627698789
