repeat,mask_source,strategy,features,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
7,kmeans_linear_hue,Bayes + SFS,"a*,S,B,H",5.400393537232839,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
7,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",-0.10519734507795953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
8,kmeans,Bayes + análisis,"H,G,S",-0.7095580248018534,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
8,kmeans,Bayes + SFS,"H,S,R,B",0.9400439185801872,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
8,kmeans,PCA + Bayes,"PC1,PC2,PC3",-1.446598138341102,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
8,reference,Bayes + análisis,"a*,R,S",24.419199726973964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
8,reference,Bayes + SFS,H,2.284096023652994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
8,reference,PCA + Bayes,"PC1,PC2,PC3",-4.54805770650135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
8,kmeans_linear_hue,Bayes + análisis,"a*,H,S",2.580697946181165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
8,kmeans_linear_hue,Bayes + SFS,"a*,S,B,H,V,R",3.7497442452495555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
8,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3",-0.6374461027040592,0.9722222222222223,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,5
9,kmeans,Bayes + análisis,"H,G,R",-0.3678955283652794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,kmeans,Bayes + SFS,"H,V,S,B,R,G",-1.8816909556915462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,kmeans,PCA + Bayes,"PC1,PC2,PC3",-1.2099352731794353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,reference,Bayes + análisis,"a*,S,R",-35.94262885248812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,reference,Bayes + SFS,G,-3.820579016129353,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
9,reference,PCA + Bayes,"PC1,PC2,PC3",-6.47160307719734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,kmeans_linear_hue,Bayes + análisis,"a*,G,R",-0.29952774874555566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,kmeans_linear_hue,Bayes + SFS,"a*,S,V,B",-1.2119977827955584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0.5022569697958978,0.9722222222222223,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
10,kmeans,Bayes + análisis,"H,G,R",-1.2722280470549325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,kmeans,Bayes + SFS,H,-1.880570949729767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,kmeans,PCA + Bayes,"PC1,PC2,PC3",0.2878870421898232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,reference,Bayes + análisis,"a*,S,R",-4.751914745067954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,reference,Bayes + SFS,H,-9.234383987879227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,reference,PCA + Bayes,"PC1,PC2,PC3",-2.015323846183406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,kmeans_linear_hue,Bayes + análisis,"a*,R,H",-3.870769775319311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,kmeans_linear_hue,Bayes + SFS,a*,-1.354364702573084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
