repeat,combination,postprocess,mask_source,strategy,features,corrected,introduced,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
9,RB,True,reference_fixed,Bayes + SFS,"H,S,V",0,0,-30.082260633974876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,RB,True,reference_fixed,PCA + Bayes,"PC1,PC2,PC3",0,0,-6.4547459882911244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,RB,True,reference_redesign,Bayes + análisis,"a*,S,R",0,0,-35.499898389654064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,RB,True,reference_redesign,Bayes + SFS,G,0,1,-3.8067437739678005,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
9,RB,True,reference_redesign,PCA + Bayes,"PC1,PC2,PC3",0,0,-6.4547459882911244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,RB,True,kmeans_linear_hue,Bayes + análisis,"a*,R,H",0,0,-1.046170019957847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,RB,True,kmeans_linear_hue,Bayes + SFS,"a*,S,B,V",0,0,-0.38229710368913583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
9,RB,True,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",0,0,0.728108665917345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,kmeans,Bayes + análisis,"H,G,R",0,0,-1.2337174704270915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,kmeans,Bayes + SFS,H,0,0,-1.8355805751396006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
10,RB,True,kmeans,PCA + Bayes,"PC1,PC2,PC3",0,0,0.2743338847716683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
